quarter_date,strat,ticker,rank_in_strat,score_level2,selected_reason,pair_corr,score_gap_vs_top1,active_review_date,switch_flag,switch_reason,ter_pct,ter_dec,nom,label
2021-02-01,STRAT1,LYEGTIE ID Equity,1,1.1984568980398382,top1,,0.0,2021-02-01,1,init,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2021-02-01,STRAT1,UIATHNA GR Equity,2,0.8531343012968831,top2_diversified,-0.09461449244999696,0.3453225967429552,2021-02-01,1,init,1.23,0.0123,ATHENA UI,ATHENA UI
2021-02-01,STRAT2,PROSSPE LX Equity,1,2.6962917510928865,top1,,0.0,2021-02-01,1,init,2.0,0.02,PROSPER STARS & STRIPES-P,PROSPER STARS & STRIPES-P
2021-02-01,STRAT2,LDAPB2E ID Equity,2,1.4564250001902603,top2_diversified,0.23637879474237838,1.2398667509026262,2021-02-01,1,init,1.47,0.0147,DALTON ASIA PACIFIC UC-B2EUR,DALTON ASIA PACIFIC UC-B2EUR
2021-02-01,STRAT3,NUMCAII ID Equity,1,2.6870534622177287,top1,,0.0,2021-02-01,1,init,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2021-02-01,STRAT3,00XL GR Equity,2,2.4354286150238487,top2_diversified,-0.05830219810106101,0.25162484719388,2021-02-01,1,init,0.49,0.0049,WT COPPER - EUR DAILY HEDGED,WT COPPER - EUR DAILY HEDGED
2021-03-01,STRAT1,LYEGTIE ID Equity,1,1.1437319260036323,top1,,0.0,2021-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2021-03-01,STRAT1,UIATHNA GR Equity,2,0.8637149466992411,top2_diversified,-0.12467834194810681,0.2800169793043912,2021-02-01,0,same_ticker,1.23,0.0123,ATHENA UI,ATHENA UI
2021-03-01,STRAT2,PROSSPE LX Equity,1,2.7396012742441647,top1,,0.0,2021-02-01,0,same_ticker,2.0,0.02,PROSPER STARS & STRIPES-P,PROSPER STARS & STRIPES-P
2021-03-01,STRAT3,00XL GR Equity,1,2.6250629441417397,top1,,0.0,2021-02-01,1,better_score,0.49,0.0049,WT COPPER - EUR DAILY HEDGED,WT COPPER - EUR DAILY HEDGED
2021-03-01,STRAT3,NUMCAII ID Equity,2,2.367305699904191,top2_diversified,-0.08196159088918979,0.25775724423754864,2021-02-01,1,deduplicate,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2021-04-01,STRAT1,LYEGTIE ID Equity,1,1.1925235118197117,top1,,0.0,2021-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
